Zeitstempel,"Which device do you own?
[If multiple pick the most recent one]",In what condition did you receive your device?,How long have you owned the device for?,Have you had to RMA your device?,Does your foldable screen open all the way?,Did your outer (small) screen break with no fault of your own ?,Did your inner (large) screen break with no fault of your own ?,What kind of screen protector do you use for your outer (small) screen?,What kind of screen protector do you use for your inner (large) screen?,Did your inner default screen protector peel or bubble up?,"Are you seeing micro cracks on the inner screen?
[Tiny scuffs especially at the middle part that look like scratches]",How is the surface of the inner screen holding up?,What is your screen usage?,How often do you fold your device in a day?
18.04.2024 01:09:36,Z Fold 3,Used,13–18 months,No,Yes,No,No,None,None,"Yes, after 0–6 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",7,11–15 times
18.04.2024 01:13:44,Z Fold 5,Used,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,11–15 times
18.04.2024 01:15:38,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,0–5 times
18.04.2024 01:18:35,Z Fold 5,Refurbished,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,0–5 times
18.04.2024 01:19:06,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",8,11–15 times
18.04.2024 01:22:27,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
18.04.2024 01:23:40,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,More than 20 times a day
18.04.2024 01:23:59,Z Fold 4,Factory new,13–18 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 7–12 months",No,Completely fine,8,11–15 times
18.04.2024 01:24:50,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,4,11–15 times
18.04.2024 01:25:09,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,3rd party,None,"Yes, after 7–12 months","Yes, since 7–12 months",Completely fine,8,0–5 times
18.04.2024 01:41:06,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 13–18 months",No,Completely fine,10,0–5 times
18.04.2024 01:42:16,Z Fold 4,Factory new,13–18 months,No,"No, 1–20° are missing to be flat",No,No,Default factory one that is pre-applied,None,"Yes, after 7–12 months",No,Completely fine,4,More than 20 times a day
18.04.2024 01:48:06,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
18.04.2024 01:51:48,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,11–15 times
18.04.2024 01:56:13,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,16–20 times
18.04.2024 01:57:20,I don't own any of them,,,,,,,,,,,,,
18.04.2024 01:57:46,Z Fold 5,Factory new,7–12 months,"Yes, 2x",Yes,No,"Yes, after 0–6 months",None,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 02:11:14,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,16–20 times
18.04.2024 02:13:17,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,"Yes, after 13–18 months",No,A purchased Samsung Official Screen Protector,None,"Yes, after 7–12 months",No,Completely fine,7,11–15 times
18.04.2024 02:13:42,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,6,6–10 times
18.04.2024 02:14:21,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",3rd party,None,"Yes, after 13–18 months",No,Completely fine,7,6–10 times
18.04.2024 02:15:34,Z Fold 5,Factory new,0–6 months,No,"No, 1–20° are missing to be flat",No,"Yes, after 0–6 months",A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,"Yes, after 0–6 months","Yes, since 0–6 months","Small scratches, only visible under a certain light",8,11–15 times
18.04.2024 02:16:40,Z Fold 5,Refurbished,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,6,0–5 times
18.04.2024 02:19:27,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 02:23:57,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 13–18 months",No,"Small scratches, only visible under a certain light",10,11–15 times
18.04.2024 02:27:19,Z Fold 3,Factory new,13–18 months,No,Yes,No,"Yes, after 13–18 months",Default factory one that is pre-applied,None,"Yes, after 7–12 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",7,6–10 times
18.04.2024 02:29:59,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,9,11–15 times
18.04.2024 02:34:33,Z Fold 4,Factory new,13–18 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,5,6–10 times
18.04.2024 02:40:41,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,16–20 times
18.04.2024 02:43:15,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,None,No,No,Completely fine,8,0–5 times
18.04.2024 02:48:25,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",8,16–20 times
18.04.2024 02:49:41,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
18.04.2024 03:01:58,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",None,Samsung official replacement (e. g. at a Service Centre),No,"Yes, since 7–12 months",Completely fine,4,16–20 times
18.04.2024 03:05:05,Z Fold 4,Factory new,13–18 months,"Yes, 2x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",3,11–15 times
18.04.2024 03:06:37,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,None,"Yes, after 7–12 months",No,Completely fine,2,16–20 times
18.04.2024 03:08:08,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,Default factory one that is pre-applied,Samsung official replacement (e. g. at a Service Centre),"Yes, after 19–24 months",No,Completely fine,3,More than 20 times a day
18.04.2024 03:27:03,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,Default factory one that is pre-applied,Samsung official replacement (e. g. at a Service Centre),"Yes, after 19–24 months",No,Completely fine,5,11–15 times
18.04.2024 03:31:44,Z Fold 4,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,8,11–15 times
18.04.2024 03:47:44,Z Fold 3,Factory new,Over 24 months,No,Yes,No,"Yes, after more than 24 months",3rd party,3rd party,No,"Yes, since 0–6 months","Larger scratches, always visible",5,More than 20 times a day
18.04.2024 03:50:21,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
18.04.2024 03:56:57,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,16–20 times
18.04.2024 04:19:52,Z Fold 4,Factory new,7–12 months,"Yes, 2x",Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,"Yes, since 0–6 months",Completely fine,8,11–15 times
18.04.2024 04:20:50,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,More than 20 times a day
18.04.2024 04:34:18,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,None,"Yes, after 0–6 months",No,Completely fine,3,More than 20 times a day
18.04.2024 04:36:37,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,More than 20 times a day
18.04.2024 04:36:43,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,8,More than 20 times a day
18.04.2024 04:38:21,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
18.04.2024 04:38:59,Z Fold 5,Factory new,0–6 months,No,Yes,No,"Yes, after 0–6 months",Default factory one that is pre-applied,Samsung official replacement (e. g. at a Service Centre),No,No,Completely fine,8,6–10 times
18.04.2024 04:39:11,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
18.04.2024 04:41:13,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,11–15 times
18.04.2024 04:57:40,Z Fold 5,Factory new,7–12 months,"Yes, 1x",Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,3,11–15 times
18.04.2024 05:02:00,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,16–20 times
18.04.2024 05:02:24,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
18.04.2024 05:02:54,Z Fold 4,Refurbished,7–12 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 0–6 months",No,Completely fine,6,0–5 times
18.04.2024 05:08:05,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,4,0–5 times
18.04.2024 05:12:47,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,11–15 times
18.04.2024 05:13:00,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",8,6–10 times
18.04.2024 05:18:29,Z Fold 3,Factory new,7–12 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",None,Default factory one that is pre-applied,"Yes, after 7–12 months","Yes, since 7–12 months","Small scratches, always visible",8,6–10 times
18.04.2024 05:19:54,Z Fold 1,Factory new,7–12 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",None,Default factory one that is pre-applied,No,"Yes, since 7–12 months","Small scratches, always visible",8,6–10 times
18.04.2024 05:24:31,Z Fold 4,Factory new,13–18 months,"Yes, 2x",Yes,No,"Yes, after 7–12 months",None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months",No,Completely fine,3,More than 20 times a day
18.04.2024 05:28:00,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,None,None,"Yes, after 0–6 months","Yes, since 19–24 months","Small scratches, only visible under a certain light",5,6–10 times
18.04.2024 05:34:34,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,None,3rd party,"Yes, after 0–6 months",No,Completely fine,2,0–5 times
18.04.2024 05:53:02,Z Fold 3,Factory new,13–18 months,"Yes, 2x","No, 1–20° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 0–6 months",No,Completely fine,1,More than 20 times a day
18.04.2024 05:55:57,Z Fold 4,Factory new,13–18 months,"Yes, 1x","No, 1–20° are missing to be flat","Yes, after 13–18 months",No,A purchased Samsung Official Screen Protector,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,8,6–10 times
18.04.2024 05:57:11,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 05:57:27,Z Fold 4,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 19–24 months",No,Completely fine,3,More than 20 times a day
18.04.2024 05:58:58,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,8,6–10 times
18.04.2024 05:59:31,Z Fold 3,Factory new,Over 24 months,No,Yes,No,"Yes, after 0–6 months",None,3rd party,"Yes, after 0–6 months",No,"Small scratches, only visible under a certain light",7,11–15 times
18.04.2024 05:59:47,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,10,11–15 times
18.04.2024 06:01:22,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,8,More than 20 times a day
18.04.2024 06:04:41,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,3,More than 20 times a day
18.04.2024 06:05:27,Z Fold 4,Factory new,13–18 months,"Yes, 2x",Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,2,More than 20 times a day
18.04.2024 06:05:38,Z Fold 4,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, always visible",2,16–20 times
18.04.2024 06:06:31,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 06:12:48,Z Fold 3,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,"Yes, after 13–18 months",3rd party,3rd party,"Yes, after 13–18 months",No,Completely fine,9,0–5 times
18.04.2024 06:15:30,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 06:20:26,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,No,None,Default factory one that is pre-applied,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",7,More than 20 times a day
18.04.2024 06:34:01,Z Fold 4,Factory new,7–12 months,"Yes, 1x","No, 1–20° are missing to be flat",No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,"Yes, after 0–6 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",9,6–10 times
18.04.2024 06:44:50,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
18.04.2024 06:48:41,Z Fold 4,Used,13–18 months,"Yes, 2x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,16–20 times
18.04.2024 06:52:27,Z Fold 4,Factory new,7–12 months,No,Yes,No,No,None,None,"Yes, after 7–12 months",No,Completely fine,4,11–15 times
18.04.2024 06:57:53,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,No,3rd party,None,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",8,More than 20 times a day
18.04.2024 07:13:07,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,None,No,No,"Small scratches, only visible under a certain light",2,More than 20 times a day
18.04.2024 07:14:57,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,More than 20 times a day
18.04.2024 07:17:46,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,"Yes, after 13–18 months",3rd party,Default factory one that is pre-applied,"Yes, after 13–18 months",No,Completely fine,7,6–10 times
18.04.2024 07:32:21,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,7,11–15 times
18.04.2024 07:34:19,Z Fold 4,Factory new,7–12 months,"Yes, 1x",Yes,No,"Yes, after 0–6 months",Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,11–15 times
18.04.2024 07:35:40,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,None,No,No,"Small scratches, only visible under a certain light",5,0–5 times
18.04.2024 07:39:56,Z Fold 5,Factory new,7–12 months,"Yes, 1x",Yes,No,No,Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,8,6–10 times
18.04.2024 07:44:04,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
18.04.2024 07:44:49,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 07:56:12,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 07:59:43,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
18.04.2024 08:03:58,Z Fold 4,Factory new,13–18 months,"Yes, 2x",Yes,No,"Yes, after 7–12 months",3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,6,11–15 times
18.04.2024 08:05:19,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,More than 20 times a day
18.04.2024 08:05:36,Z Fold 4,Factory new,13–18 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,7,11–15 times
18.04.2024 08:06:00,Z Fold 4,Used,7–12 months,No,Yes,No,No,None,None,"Yes, after 0–6 months",No,Completely fine,4,6–10 times
18.04.2024 08:09:28,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,6–10 times
18.04.2024 08:10:50,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,3rd party,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,5,6–10 times
18.04.2024 08:35:32,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,16–20 times
18.04.2024 08:44:20,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,8,0–5 times
18.04.2024 08:54:54,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,3rd party,No,No,Completely fine,8,0–5 times
18.04.2024 08:56:34,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
18.04.2024 08:56:41,Z Fold 5,Refurbished,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",7,6–10 times
18.04.2024 09:00:17,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 09:00:34,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",None,None,"Yes, after 7–12 months",No,Completely fine,4,6–10 times
18.04.2024 09:15:11,Z Fold 4,Factory new,13–18 months,"Yes, 1x",Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,9,6–10 times
18.04.2024 09:16:17,Z Fold 3,Factory new,Over 24 months,No,Yes,No,No,None,3rd party,"Yes, after 7–12 months","Yes, since 13–18 months","Small scratches, only visible under a certain light",6,More than 20 times a day
18.04.2024 09:17:19,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,16–20 times
18.04.2024 09:19:25,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,11–15 times
18.04.2024 09:20:28,Z Fold 3,Used,19–24 months,No,Yes,No,No,None,Samsung official replacement (e. g. at a Service Centre),"Yes, after 7–12 months","Yes, since 7–12 months",Completely fine,8,6–10 times
18.04.2024 09:23:35,Z Fold 3,Factory new,Over 24 months,"Yes, 3x",Yes,No,"Yes, after 7–12 months",Default factory one that is pre-applied,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,8,6–10 times
18.04.2024 09:24:54,Z Fold 4,Factory new,13–18 months,No,Yes,No,No,None,None,"Yes, after 0–6 months",No,Completely fine,7,6–10 times
18.04.2024 09:40:31,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,7,0–5 times
18.04.2024 09:46:16,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",3,16–20 times
18.04.2024 09:55:17,Z Fold 5,Refurbished,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,4,6–10 times
18.04.2024 09:58:43,Z Fold 4,Factory new,7–12 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,Completely fine,5,More than 20 times a day
18.04.2024 09:58:54,Z Fold 4,Factory new,13–18 months,"Yes, 1x","No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 0–6 months",No,Completely fine,3,More than 20 times a day
18.04.2024 10:07:18,Z Fold 3,Factory new,19–24 months,No,Yes,No,No,3rd party,3rd party,"Yes, after 7–12 months",No,Completely fine,4,6–10 times
18.04.2024 10:07:42,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,9,More than 20 times a day
18.04.2024 10:23:16,Z Fold 2,Factory new,Over 24 months,No,"No, 1–20° are missing to be flat",No,No,Default factory one that is pre-applied,3rd party,"Yes, after 0–6 months",No,Completely fine,6,More than 20 times a day
18.04.2024 10:23:57,Z Fold 2,Used,0–6 months,No,"No, 1–20° are missing to be flat",No,No,None,3rd party,No,No,Completely fine,5,More than 20 times a day
18.04.2024 10:30:00,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,7,0–5 times
18.04.2024 10:30:52,Z Fold 4,Factory new,7–12 months,"Yes, 2x",Yes,No,No,3rd party,Default factory one that is pre-applied,"Yes, after 7–12 months",No,"Small scratches, only visible under a certain light",3,6–10 times
18.04.2024 10:31:45,Z Fold 2,Used,7–12 months,No,"No, 1–20° are missing to be flat",No,No,None,None,"Yes, after 13–18 months","Yes, since 7–12 months","Small scratches, only visible under a certain light",1,16–20 times
18.04.2024 10:31:55,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,11–15 times
18.04.2024 10:33:02,Z Fold 4,Used,7–12 months,No,"No, 21–45° are missing to be flat",No,No,3rd party,None,"Yes, after 0–6 months","Yes, since 0–6 months","Small scratches, only visible under a certain light",3,0–5 times
18.04.2024 10:35:36,Z Fold 4,Factory new,19–24 months,"Yes, 1x",Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,"Small scratches, only visible under a certain light",4,0–5 times
18.04.2024 10:35:51,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,No,Completely fine,3,0–5 times
18.04.2024 10:44:43,Z Fold 3,Factory new,19–24 months,No,"No, 1–20° are missing to be flat",No,"Yes, after 7–12 months",None,None,"Yes, after 19–24 months","Yes, since 19–24 months",Completely fine,7,16–20 times
18.04.2024 10:50:30,Z Fold 5,Factory new,0–6 months,No,Yes,No,No,3rd party,Default factory one that is pre-applied,No,"Yes, since 0–6 months","Small scratches, only visible under a certain light",9,0–5 times
18.04.2024 10:55:26,Z Fold 4,Refurbished,0–6 months,No,"No, 1–20° are missing to be flat",No,No,3rd party,3rd party,"Yes, after 0–6 months",No,Completely fine,3,6–10 times
18.04.2024 10:57:21,Z Fold 4,Factory new,0–6 months,"Yes, 1x",Yes,No,"Yes, after 7–12 months",Default factory one that is pre-applied,Default factory one that is pre-applied,No,No,Completely fine,5,More than 20 times a day
18.04.2024 11:08:49,Z Fold 5,Factory new,7–12 months,No,Yes,No,No,None,Default factory one that is pre-applied,No,No,Completely fine,5,6–10 times
18.04.2024 11:16:52,Z Fold 4,Factory new,19–24 months,No,Yes,No,No,A purchased Samsung Official Screen Protector,Samsung official replacement (e. g. at a Service Centre),"Yes, after 13–18 months",No,Completely fine,6,6–10 times
18.04.2024 11:18:54,I don't own any of them,,,,,,,,,,,,,
